,ns,f1
0,1,0.8247188252285664
1,2,0.8296419705201323
2,3,0.8348797474620999
3,4,0.834341662061103
4,5,0.8382114471805835
5,6,0.839157965100813
6,7,0.8417300881157821
7,8,0.8422391732351613
8,9,0.8420643832683297
9,10,0.843943338335085
10,11,0.8447796787359174
11,12,0.8498134339124416
12,13,0.8517941916371055
13,14,0.8538024911314958
14,15,0.8539348957520726
15,16,0.8540504294110981
16,17,0.8572147963062177
17,18,0.8608343209399972
18,19,0.8605491370487481
19,20,0.860941925523591
